,index,datetime,X,Y,Z,dtr_GPS,dtr_GAL,in_view_sat,dtr
155,0,2021-07-17 12:55:00,4642430.797252462,1028630.3192790739,4236854.923383937,1.1809358505869053e-08,7.196667510476915e-08,16,6.01573165989001e-08
156,0,2021-07-17 13:00:00,4642431.453687449,1028629.0972577234,4236855.047519616,1.266756740303014e-08,8.017607350139807e-08,14,6.750850609836793e-08
157,0,2021-07-17 13:05:00,4642432.077219419,1028629.358481566,4236855.475321958,1.6722097591336766e-08,8.58392571394729e-08,14,6.911715954813613e-08
158,0,2021-07-17 13:10:00,4642431.730534655,1028630.5704871153,4236854.920279865,1.3833330495148501e-08,8.165008624839914e-08,15,6.781675575325064e-08
159,0,2021-07-17 13:15:00,4642432.754026311,1028630.8519878192,4236855.680626079,1.8662770992211078e-08,8.914637523290355e-08,15,7.048360424069246e-08
160,0,2021-07-17 13:20:00,4642432.316202582,1028631.1379107962,4236856.36956027,1.4760235543216725e-08,8.763031197190603e-08,16,7.28700764286893e-08
161,0,2021-07-17 13:25:00,4642432.456087239,1028631.188193893,4236856.578131626,1.601863157058358e-08,9.019469832929557e-08,16,7.417606675871199e-08
162,0,2021-07-17 13:30:00,4642431.8196325265,1028631.1369253651,4236856.513333548,1.49688085705809e-08,9.001342054947622e-08,17,7.504461197889532e-08
163,0,2021-07-17 13:35:00,4642432.33298682,1028631.0683496248,4236856.625524533,1.5158766438738958e-08,9.042107095768829e-08,17,7.526230451894933e-08
164,0,2021-07-17 13:40:00,4642432.132878031,1028631.3375228774,4236856.655904125,1.5418716019249022e-08,9.220738563298565e-08,17,7.678866961373663e-08
165,0,2021-07-17 13:45:00,4642431.742320668,1028631.0054001055,4236856.307964491,1.3545026570921733e-08,9.011746186610849e-08,16,7.657243529518676e-08
166,0,2021-07-17 13:50:00,4642432.485493689,1028630.5494631936,4236857.636713861,1.7540295962699735e-08,9.0323443776727e-08,15,7.278314781402726e-08
167,0,2021-07-17 13:55:00,4642431.890001856,1028630.8605253032,4236857.743652582,1.3944936372523796e-08,8.719650936151609e-08,14,7.325157298899229e-08
168,0,2021-07-17 14:00:00,4642431.170564799,1028630.5618524731,4236856.400539441,1.0115293767404378e-08,8.693522409203592e-08,16,7.681993032463155e-08
169,0,2021-07-17 14:05:00,4642430.661221909,1028630.6490232627,4236856.019231247,8.435862930513149e-09,8.500340053555736e-08,16,7.656753760504421e-08
170,0,2021-07-17 14:10:00,4642430.789810778,1028630.3095114687,4236856.363102224,8.529855872101112e-09,8.369415806066842e-08,17,7.51643021885673e-08
171,0,2021-07-17 14:15:00,4642430.146307841,1028629.5711565042,4236855.932636644,7.988324641382386e-09,8.222099958314391e-08,16,7.423267494176152e-08
172,0,2021-07-17 14:20:00,4642430.09066722,1028629.9265093966,4236855.525236419,4.1971149652044545e-09,7.81082481494783e-08,15,7.391113318427384e-08
