,time,sv,xs,ys,zs,xs_dot,ys_dot,zs_dot,ts,C1C,constellation
1035,2021-07-17 13:35:00,E02,21078929.534250006,-20581295.208611403,-2928077.7607268123,-275.86893381169824,147.83991132779943,-3020.3445517372616,0.00023353214044159311,28009970.257,E
1036,2021-07-17 13:35:00,E04,766041.9974241015,17428398.99999221,23921583.23145215,-2346.779331939842,-487.2895045545773,430.75916041939104,-0.0008152461728059434,26157070.586,E
1037,2021-07-17 13:35:00,E05,29182110.680863213,3408794.3192671346,-3569556.888205307,359.0205969953497,34.25182970882538,2963.562223760454,-0.0002644980507966786,25940568.917,E
1038,2021-07-17 13:35:00,E09,21593871.44697683,14432018.575617898,14187993.793710591,-1385.8876490923008,-324.2334983133994,2441.7671961949436,0.005597420552646458,22113294.002,E
1039,2021-07-17 13:35:00,E11,14837370.759038374,23656433.312510964,9821655.682911864,450.4701750042529,890.3768531938233,-2819.742175852842,0.005707496024967522,23727937.665,E
1040,2021-07-17 13:35:00,E30,8376460.56020028,-24268899.31669458,14735939.536546778,929.1344260853442,-1153.2726385092917,-2426.201826462142,0.002776825734770401,26810635.799,E
1041,2021-07-17 13:35:00,E36,17765415.828236617,5895463.203332044,22927452.082570694,808.584050088249,2158.437627729515,-1180.976485432614,-0.0002356580760647373,23420994.944,E
1042,2021-07-17 13:40:00,E02,20987787.51408037,-20525714.429520458,-3831947.9949028823,-331.1503043172394,223.07404183869014,-3004.7625778399865,0.00023353293340728622,28158839.834,E
1043,2021-07-17 13:40:00,E04,58681.243157914374,17289811.786789518,24034250.31086264,-2368.2342553565154,-436.39933667113166,320.2685292171307,-0.0008152486989275,26270786.433,E
1044,2021-07-17 13:40:00,E05,29276762.8861812,3415359.645026258,-2678223.5135216787,271.77103710399217,10.150563162485529,2977.9760623898956,-0.0002644972410053,25776947.682,E
1045,2021-07-17 13:40:00,E09,21166305.791270703,14337498.191869806,14910537.096952716,-1464.1968701878682,-305.2828631199882,2374.633853007667,0.005597416718956,22072583.537,E
1046,2021-07-17 13:40:00,E11,14971425.228527118,23909866.92497669,8969135.612525577,442.4936754362823,799.1127671440095,-2863.070022242901,0.005707480129786,23835605.896,E
1047,2021-07-17 13:40:00,E30,8643876.669093184,-24609788.248932302,13998057.125649566,853.7584202491123,-1118.599667595217,-2492.447499134393,0.00277681654552,26891596.097,E
1048,2021-07-17 13:40:00,E36,18013964.456922095,6534836.098498801,22557381.76535619,847.8808867841503,2103.4404047919265,-1285.8743944639302,-0.00023565964067984144,23410728.412,E
1049,2021-07-17 13:45:00,E02,20880603.119097512,-20447236.85364255,-4730519.80703263,-382.79444270658684,300.44719936893426,-2985.0257914541717,0.00023353372637297933,28307923.604,E
1050,2021-07-17 13:45:00,E04,-654458.9109112048,17166683.2810274,24113700.241864562,-2385.295348417124,-384.2709604242073,209.33693898803782,-0.0008152511204571435,26389798.811,E
1051,2021-07-17 13:45:00,E05,29345051.800968684,3415268.1860730452,-1783183.5882842094,183.30659376112345,-10.115069646434966,2988.2685284772497,-0.0002644963627744786,25616728.339,E
1052,2021-07-17 13:45:00,E09,20715577.45873945,14249214.576660614,15612445.673259385,-1540.266329632714,-282.6748940669685,2304.2175149281843,0.0055974128692354574,22039761.697,E
1053,2021-07-17 13:45:00,E11,15102427.288252676,24135873.65023182,8104209.968886137,430.1205758457766,707.576270967029,-2902.435943111141,0.005707464360000522,23946519.394,E
1054,2021-07-17 13:45:00,E30,8888799.540347552,-24939629.97814734,13240815.860089818,779.2218729648706,-1079.636102475616,-2555.2456156393578,0.002776807341149401,26978612.833,E
1055,2021-07-17 13:45:00,E36,18273819.21880916,7157172.253245599,22156105.405697793,883.926689090313,2044.8916356675018,-1388.9927875125977,-0.00023566120529494559,23404629.319,E
1056,2021-07-17 13:50:00,E02,20758488.139339037,-20345255.389890168,-5622550.688098774,-430.666129924877,379.72731203711515,-2961.161378552434,0.00023353451933867244,28456834.364,E
1057,2021-07-17 13:50:00,E04,-1372049.9235175108,17059348.967216343,24159823.635268886,-2397.898516158044,-331.14530289689037,98.11761839287065,-0.0008152536465786,26513805.638,E
1058,2021-07-17 13:50:00,E05,29386650.280181542,3409680.782022518,-885676.0316622482,93.8768266391236,-26.478959299048547,2994.42554933532,-0.0002644954947755,25460195.695,E
1059,2021-07-17 13:50:00,E09,20242392.768311698,14168246.605719164,16292748.948126161,-1613.8700994714234,-256.5329754574901,2230.6161209036813,0.005597409093753,22014849.986,E
1060,2021-07-17 13:50:00,E11,15229058.394497924,24334412.968852304,7228075.663211219,413.35621429798164,616.0425674259691,-2937.785884016141,0.005707448590215045,24060678.683,E
1061,2021-07-17 13:50:00,E30,9111519.0957953,-25257148.55707547,12465263.215911176,705.7781979158897,-1036.4594974609568,-2614.509298693276,0.002776798136778802,27071376.244,E
1062,2021-07-17 13:55:00,E02,20622592.882917754,-20219233.690899182,-6506807.141891755,-474.64387083935605,460.67496251081076,-2933.202231670357,0.00023353531230436555,28605187.536,E
1063,2021-07-17 13:55:00,E04,-2092746.9960784893,16968071.42545025,24172557.31638083,-2405.994014458047,-277.2666495019492,-13.235974993355413,-0.0008152560723714998,26642499.229,E
1064,2021-07-17 13:55:00,E05,29401306.634175405,3399776.132087772,13057.25428631275,3.7347056888179866,-38.88964594130801,2996.4386470992963,-0.0002644946165446786,25307623.445,E
